"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"103","-1","1000","0.55","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.8525","-2.222222222222185"
"104","-1","1000","0.55","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.0188750000000004","-2.222222222222185"
"105","-1","1000","0.55","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-2.1103812500000005","-2.222222222222185"
"106","-1","1000","0.55","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-2.1607096875000007","-2.222222222222185"
"107","-1","1000","0.55","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-2.1883903281250006","-2.222222222222185"
"108","-1","1000","0.55","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-2.220519515854644","-2.222222222222185"
"109","-1","1000","0.55","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-2.2222198501421526","-2.222222222222185"
"110","-1","1000","0.55","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-2.2222222222136168","-2.222222222213152"
"111","-1","1000","0.6","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-2.5000000000000004"
"112","-1","1000","0.6","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.6","-2.5000000000000004"
"113","-1","1000","0.6","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.96","-2.5000000000000004"
"114","-1","1000","0.6","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.176","-2.5000000000000004"
"115","-1","1000","0.6","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-2.3056","-2.5000000000000004"
"116","-1","1000","0.6","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-2.3833599999999997","-2.5000000000000004"
"117","-1","1000","0.6","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-2.4848834559999995","-2.5000000000000004"
"118","-1","1000","0.6","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-2.4963865413222397","-2.5000000000000004"
"119","-1","1000","0.6","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-2.4999974412740773","-2.5000000000000004"
"120","-1","1000","0.6","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-2.4999999995866915","-2.499999999571016"
"121","-1","1000","0.65","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-2.8571428571428172"
"122","-1","1000","0.65","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.65","-2.8571428571428172"
"123","-1","1000","0.65","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-2.0725","-2.8571428571428172"
"124","-1","1000","0.65","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.347125","-2.8571428571428172"
"125","-1","1000","0.65","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-2.701995425","-2.8571428571428172"
"126","-1","1000","0.65","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-2.717079203125","-2.8571428571428172"
"127","-1","1000","0.65","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-2.832140619502832","-2.8571428571428172"
"128","-1","1000","0.65","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-2.8542418709490827","-2.8571428571428172"
"129","-1","1000","0.65","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-2.8571399116405436","-2.8571428571428172"
"130","-1","1000","0.65","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-2.8571428417687006","-2.857142842368109"
"131","-1","1000","0.7","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-3.333333333333373"
"132","-1","1000","0.7","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.7","-3.333333333333373"
"133","-1","1000","0.7","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-2.19","-3.333333333333373"
"134","-1","1000","0.7","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.533","-3.333333333333373"
"135","-1","1000","0.7","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-3.1988213099999996","-3.333333333333373"
"136","-1","1000","0.7","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-3.1988213099999996","-3.333333333333373"
"137","-1","1000","0.7","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-3.301036996531","-3.333333333333373"
"138","-1","1000","0.7","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-3.329533701604875","-3.333333333333373"
"139","-1","1000","0.7","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-3.333329002172951","-3.333333333333373"
"140","-1","1000","0.7","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-3.3333328700596985","-3.3333328911187023"
"141","-1","1000","0.75","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-3.9999999999999996"
"142","-1","1000","0.75","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.75","-3.9999999999999996"
"143","-1","1000","0.75","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-2.3125","-3.9999999999999996"
"144","-1","1000","0.75","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-2.734375","-3.9999999999999996"
"145","-1","1000","0.75","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-3.7747459411621094","-3.9999999999999996"
"146","-1","1000","0.75","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-3.7747459411621094","-3.9999999999999996"
"147","-1","1000","0.75","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-3.959909616969526","-3.9999999999999996"
"148","-1","1000","0.75","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-3.9959864348897867","-3.9999999999999996"
"149","-1","1000","0.75","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-3.9999882171584584","-3.9999877967482806"
"150","-1","1000","0.75","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-3.999988237372282","-3.999988737551304"
"151","-1","1000","0.8","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-5.000000000000001"
"152","-1","1000","0.8","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.8","-5.000000000000001"
